Dependencies
Dependency, Old Npm, Old Bower, New Npm
karma-chrome-launcher, ^1.0.1, undefined, ^2.0.0
karma-firefox-launcher, ^1.0.0, undefined, ^1.0.0
karma-jade-preprocessor, 0.0.11, undefined, undefined
karma-jasmine, ^1.0.2, undefined, ^1.0.2
karma-ng-html2js-preprocessor, ^1.0.0, undefined, undefined
karma-phantomjs-launcher, ~1.0.0, undefined, ~1.0.0
karma-script-launcher, ^1.0.0, undefined, ^1.0.0
karma-spec-reporter, ~0.0.20, undefined, ~0.0.20
lazypipe, ^1.0.1, undefined, ^1.0.1
mocha, ^2.2.5, undefined, ^3.0.2
nodemon, ^1.3.7, undefined, ^1.3.7
open, ~0.0.4, undefined, ~0.0.4
phantomjs-prebuilt, ^2.1.4, undefined, ^2.1.4
proxyquire, ^1.0.1, undefined, ^1.0.1
run-sequence, ^1.1.0, undefined, ^1.1.0
sinon, ^1.16.1, undefined, ^1.16.1
sinon-chai, ^2.8.0, undefined, ^2.8.0
supertest, ^1.1.0, undefined, ^1.1.0
utile, ~0.3.0, undefined, undefined
wiredep, ^2.2.2, undefined, undefined
angular-mocks, undefined, ~1.5.0, ~1.6.0
bootstrap-styl, undefined, undefined, ^5.0.5
font-awesome-stylus, undefined, undefined, ^4.6.2
babel-eslint, undefined, undefined, ^6.0.4
bs-fullscreen-message, undefined, undefined, ^1.0.0
flow-bin, undefined, undefined, ^0.31.0
babel-plugin-syntax-flow, undefined, undefined, ^6.8.0
babel-plugin-transform-flow-comments, undefined, undefined, ^6.8.0
eslint, undefined, undefined, ^2.12.0
gulp-typescript, undefined, undefined, ~2.13.0
gulp-typings, undefined, undefined, ^1.3.6
gulp-tslint, undefined, undefined, ^5.0.0
ts-helpers, undefined, undefined, 1.1.1
gulp-eslint, undefined, undefined, ^2.0.0
gulp-stylint, undefined, undefined, ^3.0.0
webpack, undefined, undefined, ^1.12.14
webpack-dev-middleware, undefined, undefined, ^1.5.1
webpack-stream, undefined, undefined, ^3.2.0
extract-text-webpack-plugin, undefined, undefined, ^1.0.1
html-webpack-plugin, undefined, undefined, ^2.16.0
html-webpack-harddisk-plugin, undefined, undefined, ~0.0.2
pug-html-loader, undefined, undefined, ^1.0.8
awesome-typescript-loader, undefined, undefined, 0.17.0
ng-annotate-loader, undefined, undefined, ~0.1.0
babel-loader, undefined, undefined, ^6.2.4
css-loader, undefined, undefined, ^0.24.0
file-loader, undefined, undefined, ^0.9.0
imports-loader, undefined, undefined, ^0.6.5
isparta-instrumenter-loader, undefined, undefined, ^1.0.0
isparta-loader, undefined, undefined, ^2.0.0
istanbul-instrumenter-loader, undefined, undefined, ^0.2.0
null-loader, undefined, undefined, ^0.1.1
postcss-loader, undefined, undefined, ^0.11.1
raw-loader, undefined, undefined, ^0.5.1
style-loader, undefined, undefined, ^0.13.0
node-sass, undefined, undefined, ^3.8.0
sass-loader, undefined, undefined, ^4.0.1
less, undefined, undefined, ^2.7.1
less-loader, undefined, undefined, ^2.2.3
stylus, undefined, undefined, ^0.54.5
stylus-loader, undefined, undefined, ^2.1.1
karma-webpack, undefined, undefined, ^1.7.0
through2, undefined, undefined, ^2.0.1
karma-coverage, undefined, undefined, ^1.0.0
karma-sourcemap-loader, undefined, undefined, ~0.3.7
karma-mocha, undefined, undefined, ^1.0.1
karma-chai-plugins, undefined, undefined, ~0.7.0
strip-ansi, undefined, undefined, ^3.0.1
tslint, undefined, undefined, ^3.5.0
typings, undefined, undefined, ^0.8.1
